Alemania;Pib Pc;IPC Armonizado;Desempleo Armonizado;Asientos ofertados;IPC España Armonizado;Llegadas a AGP Alemania;Mortalidad;Indice del consumidor;Búsquedas hacia AGP total;Búsquedas hacia AGP  3 meses;Búsquedas hacia AGP 6 meses;Fecha
76517.0;6770.0;84.3;11.5;-1;81.16;23662.0;73561;-13.7;0;0;0;2005-01
89108.0;6770.0;84.6;11.5;-1;81.35;26658.0;72275;-14.5;0;0;0;2005-02
113595.0;6770.0;84.9;11.5;-1;82.07;43621.0;83271;-15.2;0;0;0;2005-03
135801.0;6980.0;84.9;11.3;-1;83.24;47549.0;68245;-15.4;0;0;0;2005-04
181280.0;6980.0;85.2;11.3;-1;83.37;64567.0;69328;-14.7;0;0;0;2005-05
167303.0;6980.0;85.3;11.3;-1;83.63;57520.0;64485;-15.2;0;0;0;2005-06
155166.0;7110.0;85.7;11.1;-1;83.11;74456.0;64725;-16.0;0;0;0;2005-07
173698.0;7110.0;85.9;11.1;-1;83.5;66818.0;64075;-14.3;0;0;0;2005-08
208641.0;7110.0;86.2;11.1;-1;84.02;70924.0;62261;-13.9;0;0;0;2005-09
212291.0;7270.0;86.2;10.8;-1;84.67;65441.0;67033;-12.7;0;0;0;2005-10
102993.0;7270.0;85.7;10.8;-1;84.8;28537.0;67339;-13.1;0;0;0;2005-11
69657.0;7270.0;86.6;10.8;-1;84.99;24653.0;73629;-11.7;0;0;0;2005-12
88568.0;7080.0;86.1;11.3;-1;84.6;25446.0;74230;-7.4;0;0;0;2006-01
104246.0;7080.0;86.4;11.3;-1;84.66;28086.0;66793;-8.2;0;0;0;2006-02
163785.0;7080.0;86.5;11.3;-1;85.26;43915.0;73680;-8.6;0;0;0;2006-03
171910.0;7220.0;86.8;10.2;-1;86.49;55077.0;68105;-8.3;0;0;0;2006-04
181345.0;7220.0;87.0;10.2;-1;86.8;56241.0;67837;-5.9;0;0;0;2006-05
190968.0;7220.0;87.1;10.2;-1;86.94;55526.0;66177;-7.4;0;0;0;2006-06
187489.0;7400.0;87.5;9.8;-1;86.45;61640.0;72864;-8.5;0;0;0;2006-07
174139.0;7400.0;87.4;9.8;-1;86.65;58086.0;64777;-9.0;0;0;0;2006-08
213117.0;7400.0;87.0;9.8;-1;86.48;64518.0;64502;-9.2;0;0;0;2006-09
191420.0;7680.0;87.1;9.8;-1;86.84;60280.0;65965;-10.7;0;0;0;2006-10
85137.0;7680.0;87.0;9.8;-1;87.05;27095.0;66288;-9.6;0;0;0;2006-11
70722.0;7680.0;87.8;9.8;-1;87.3;28743.0;70409;-8.1;0;0;0;2006-12
96031.0;7500.0;87.6;9.5;-1;86.67;26292.0;72665;-7.7;0;0;0;2007-01
79608.0;7500.0;88.0;9.5;-1;86.73;31430.0;67310;-5.4;0;0;0;2007-02
149043.0;7500.0;88.2;9.5;-1;87.4;46280.0;76221;-4.7;0;0;0;2007-03
152862.0;7580.0;88.6;8.6;-1;88.64;54866.0;69944;-2.5;0;0;0;2007-04
151843.0;7580.0;88.7;8.6;-1;88.89;57723.0;67500;0.0;0;0;0;2007-05
177906.0;7580.0;88.8;8.6;-1;89.06;54849.0;64033;-0.8;0;0;0;2007-06
152524.0;7780.0;89.3;8.4;-1;88.44;71091.0;66683;-1.0;0;0;0;2007-07
154334.0;7780.0;89.1;8.4;-1;88.59;67814.0;64352;-4.2;0;0;0;2007-08
182275.0;7780.0;89.3;8.4;-1;88.85;65915.0;63129;-5.8;0;0;0;2007-09
185323.0;7990.0;89.4;8.2;-1;90.0;62706.0;68706;-5.7;0;0;0;2007-10
91342.0;7990.0;89.9;8.2;-1;90.65;28555.0;70062;-8.6;0;0;0;2007-11
74966.0;7990.0;90.5;8.2;-1;91.04;29538.0;76550;-8.1;0;0;0;2007-12
101085.0;7750.0;90.2;8.2;0;90.46;26804.0;79537;-8.0;0;0;0;2008-01
109242.0;7750.0;90.6;8.2;0;90.59;32265.0;71025;-9.2;0;0;0;2008-02
151034.0;7750.0;91.1;8.2;0;91.41;43999.0;76064;-9.3;0;0;0;2008-03
151529.0;7900.0;90.9;7.8;0;92.4;45015.0;71148;-8.0;0;0;0;2008-04
192501.0;7900.0;91.5;7.8;0;93.04;60326.0;70229;-10.3;0;0;0;2008-05
179435.0;7900.0;91.8;7.8;0;93.58;58301.0;64398;-12.3;0;0;0;2008-06
185897.0;7940.0;92.3;7.1;0;93.15;67978.0;66715;-15.8;0;0;0;2008-07
152851.0;7940.0;92.0;7.1;74184;92.97;65390.0;65605;-16.7;0;0;0;2008-08
187426.0;7940.0;92.0;7.1;68655;92.92;64835.0;64209;-15.0;0;0;0;2008-09
207210.0;7940.0;91.7;7.0;71061;93.24;63892.0;69854;-18.0;0;0;0;2008-10
104848.0;7940.0;91.2;7.0;32008;92.83;26541.0;68771;-17.6;0;0;0;2008-11
78450.0;7940.0;91.5;7.0;30073;92.36;23892.0;76884;-21.0;0;0;0;2008-12
85447.0;7370.0;91.1;8.1;28310;91.19;21643.0;90026;-20.6;0;0;0;2009-01
85995.0;7370.0;91.6;8.1;30420;91.21;26170.0;77205;-20.8;0;0;0;2009-02
120592.0;7370.0;91.4;8.1;35876;91.36;34033.0;75966;-22.4;0;0;0;2009-03
127092.0;7420.0;91.5;7.8;44487;92.26;43204.0;69143;-20.6;0;0;0;2009-04
160043.0;7420.0;91.4;7.8;66574;92.22;60031.0;67894;-19.7;0;0;0;2009-05
163969.0;7420.0;91.8;7.8;62816;92.68;55157.0;64887;-18.3;0;0;0;2009-06
147766.0;7690.0;91.7;7.9;65350;91.92;66333.0;66275;-15.3;0;0;0;2009-07
