España;Pib Pc;IPC Armonizado;Desempleo Armonizado;Asientos ofertados;Llegadas a AGP España;Mortalidad;Indice del consumidor;Búsquedas hacia AGP total;Búsquedas hacia AGP  3 meses;Búsquedas hacia AGP 6 meses;Fecha
274021.0;5070.0;81.16;10.2;-1;97043.0;47867;-9.7;0;0;0;2005-01
329211.0;5070.0;81.35;10.2;-1;107604.0;37259;-10.4;0;0;0;2005-02
454505.0;5070.0;82.07;10.2;-1;137272.0;37337;-10.7;0;0;0;2005-03
462879.0;5390.0;83.24;9.3;-1;132783.0;30152;-9.5;0;0;0;2005-04
480684.0;5390.0;83.37;9.3;-1;139548.0;29644;-9.1;0;0;0;2005-05
652001.0;5390.0;83.63;9.3;-1;137633.0;28336;-8.9;0;0;0;2005-06
1005741.0;5180.0;83.11;8.4;-1;162808.0;28452;-8.6;0;0;0;2005-07
1217297.0;5180.0;83.5;8.4;-1;162872.0;27464;-7.4;0;0;0;2005-08
714758.0;5180.0;84.02;8.4;-1;145500.0;26235;-9.9;0;0;0;2005-09
440447.0;5600.0;84.67;8.7;-1;142287.0;28939;-11.3;0;0;0;2005-10
315501.0;5600.0;84.8;8.7;-1;118621.0;29507;-13.8;0;0;0;2005-11
334745.0;5600.0;84.99;8.7;-1;121262.0;33864;-10.4;0;0;0;2005-12
287601.0;5410.0;84.6;9.0;-1;108200.0;35221;-12.8;0;0;0;2006-01
346059.0;5410.0;84.66;9.0;-1;108611.0;31320;-13.8;0;0;0;2006-02
426041.0;5410.0;85.26;9.0;-1;139841.0;33707;-12.8;0;0;0;2006-03
657158.0;5740.0;86.49;8.5;-1;149219.0;29557;-11.6;0;0;0;2006-04
517647.0;5740.0;86.8;8.5;-1;146769.0;29747;-12.3;0;0;0;2006-05
649779.0;5740.0;86.94;8.5;-1;146929.0;28400;-12.9;0;0;0;2006-06
1008878.0;5510.0;86.45;8.1;-1;166785.0;31442;-11.8;0;0;0;2006-07
1299378.0;5510.0;86.65;8.1;-1;172852.0;28769;-9.1;0;0;0;2006-08
675174.0;5510.0;86.48;8.1;-1;153255.0;27790;-12.5;0;0;0;2006-09
522955.0;5960.0;86.84;8.3;-1;147959.0;29368;-11.3;0;0;0;2006-10
328102.0;5960.0;87.05;8.3;-1;119446.0;29692;-9.7;0;0;0;2006-11
375417.0;5960.0;87.3;8.3;-1;125694.0;34378;-10.3;0;0;0;2006-12
288265.0;5710.0;86.67;8.4;-1;105925.0;38495;-13.1;0;0;0;2007-01
354989.0;5710.0;86.73;8.4;-1;117533.0;34093;-12.9;0;0;0;2007-02
424944.0;5710.0;87.4;8.4;-1;150874.0;33896;-11.5;0;0;0;2007-03
