Suecia;Pib Pc;IPC Armonizado;Desempleo Armonizado;Asientos ofertados;IPC España Armonizado;Llegadas a AGP Suecia;Mortalidad;Indice del consumidor;Búsquedas hacia AGP total;Búsquedas hacia AGP  3 meses;Búsquedas hacia AGP 6 meses;Fecha
7351.0;8520.0;86.02;6.8;-1;81.16;4240.0;8217;1.9;0;0;0;2005-01
8935.0;8520.0;86.46;6.8;-1;81.35;4897.0;7868;1.6;0;0;0;2005-02
12503.0;8520.0;86.68;6.8;-1;82.07;5368.0;9333;1.8;0;0;0;2005-03
11537.0;9010.0;86.83;8.7;-1;83.24;6439.0;7968;-0.9;0;0;0;2005-04
14012.0;9010.0;86.93;8.7;-1;83.37;5808.0;7430;-0.3;0;0;0;2005-05
17213.0;9010.0;86.98;8.7;-1;83.63;8381.0;7142;0.5;0;0;0;2005-06
18586.0;8400.0;86.78;7.3;-1;83.11;8575.0;7186;0.8;0;0;0;2005-07
7919.0;8400.0;86.96;7.3;-1;83.5;6068.0;7112;2.5;0;0;0;2005-08
10936.0;8400.0;87.68;7.3;-1;84.02;6604.0;6892;1.4;0;0;0;2005-09
16968.0;9050.0;87.87;7.1;-1;84.67;6579.0;7147;1.5;0;0;0;2005-10
10755.0;9050.0;87.59;7.1;-1;84.8;4792.0;7143;1.4;0;0;0;2005-11
3988.0;9050.0;87.63;7.1;-1;84.99;4797.0;8066;2.0;0;0;0;2005-12
8110.0;8800.0;87.04;7.9;-1;84.6;4641.0;8417;5.5;0;0;0;2006-01
7640.0;8800.0;87.36;7.9;-1;84.66;5592.0;7358;3.8;0;0;0;2006-02
11805.0;8800.0;87.93;7.9;-1;85.26;6893.0;8177;3.5;0;0;0;2006-03
13317.0;9420.0;88.41;8.0;-1;86.49;9025.0;7387;2.9;0;0;0;2006-04
13253.0;9420.0;88.59;8.0;-1;86.8;7083.0;7389;4.9;0;0;0;2006-05
20688.0;9420.0;88.59;8.0;-1;86.94;9206.0;7156;3.6;0;0;0;2006-06
13952.0;9000.0;88.29;6.3;-1;86.45;10858.0;7384;2.7;0;0;0;2006-07
8463.0;9000.0;88.32;6.3;-1;86.65;7416.0;7316;3.9;0;0;0;2006-08
10431.0;9000.0;88.75;6.3;-1;86.48;8625.0;7186;4.2;0;0;0;2006-09
14710.0;9920.0;88.92;6.0;-1;86.84;8612.0;7540;4.7;0;0;0;2006-10
13078.0;9920.0;88.93;6.0;-1;87.05;4794.0;7622;2.1;0;0;0;2006-11
4479.0;9920.0;88.91;6.0;-1;87.3;5590.0;8086;2.7;0;0;0;2006-12
6864.0;9520.0;88.46;6.8;-1;86.67;4290.0;8431;2.1;0;0;0;2007-01
9916.0;9520.0;88.87;6.8;-1;86.73;5087.0;7686;5.1;0;0;0;2007-02
12940.0;9520.0;89.37;6.8;-1;87.4;6384.0;8736;2.3;0;0;0;2007-03
17210.0;9990.0;89.79;6.9;-1;88.64;8276.0;7792;6.7;0;0;0;2007-04
13974.0;9990.0;89.67;6.9;-1;88.89;9317.0;7251;4.1;0;0;0;2007-05
16823.0;9990.0;89.78;6.9;-1;89.06;10875.0;7059;4.3;0;0;0;2007-06
20202.0;9410.0;89.5;5.5;-1;88.44;11764.0;7201;4.1;0;0;0;2007-07
10213.0;9410.0;89.39;5.5;-1;88.59;7476.0;7002;3.2;0;0;0;2007-08
16300.0;9410.0;90.14;5.5;-1;88.85;11284.0;7178;2.4;0;0;0;2007-09
21119.0;10320.0;90.59;5.5;-1;90.0;11807.0;7503;3.1;0;0;0;2007-10
14198.0;10320.0;91.09;5.5;-1;90.65;5787.0;7476;0.3;0;0;0;2007-11
7921.0;10320.0;91.16;5.5;-1;91.04;5768.0;8276;0.1;0;0;0;2007-12
6840.0;9580.0;91.15;6.3;0;90.46;5211.0;8363;-1.0;0;0;0;2008-01
10026.0;9580.0;91.49;6.3;0;90.59;6410.0;7551;-3.4;0;0;0;2008-02
16309.0;9580.0;92.3;6.3;0;91.41;8981.0;8366;-1.8;0;0;0;2008-03
17313.0;10260.0;92.64;6.8;0;92.4;7959.0;7842;-3.1;0;0;0;2008-04
15297.0;10260.0;93.02;6.8;0;93.04;8283.0;7403;-4.4;0;0;0;2008-05
15869.0;10260.0;93.37;6.8;0;93.58;9730.0;7072;-7.7;0;0;0;2008-06
18615.0;9500.0;92.92;5.7;0;93.15;11538.0;7334;-10.2;0;0;0;2008-07
10194.0;9500.0;93.02;5.7;13164;92.97;8629.0;7039;-7.7;0;0;0;2008-08
17483.0;9500.0;93.91;5.7;10180;92.92;9711.0;7122;-6.4;0;0;0;2008-09
16650.0;9200.0;93.72;6.2;8989;93.24;9851.0;7379;-9.0;0;0;0;2008-10
10821.0;9200.0;93.26;6.2;1074;92.83;2121.0;7443;-8.4;0;0;0;2008-11
4278.0;9200.0;93.1;6.2;2337;92.36;2494.0;8423;-8.3;0;0;0;2008-12
