Reino Unido;Pib Pc;IPC Armonizado;Desempleo Armonizado;Tipo de cambio;Asientos ofertados;IPC España Armonizado;Llegadas a AGP Reino Unido;Mortalidad;Indice del consumidor;Búsquedas hacia AGP total;Búsquedas hacia AGP  3 meses;Búsquedas hacia AGP 6 meses;Fecha
377270.0;7511.326148381234;1.6;4.7;1.4331;-1;81.16;133857.0;0.0;-10.5;0;0;0;2005-01
389130.0;7511.326148381234;1.7;4.7;1.4499;-1;81.35;148044.0;0.0;-4.7;0;0;0;2005-02
462764.0;7511.326148381234;1.9;4.7;1.444;-1;82.07;199454.0;0.0;-2.2;0;0;0;2005-03
490737.0;7573.779283700775;1.9;4.8;1.4652;-1;83.24;212029.0;0.0;-6.0;0;0;0;2005-04
549637.0;7573.779283700775;1.9;4.8;1.4611;-1;83.37;261106.0;0.0;-10.2;0;0;0;2005-05
587254.0;7573.779283700775;2.0;4.8;1.4952;-1;83.63;264593.0;0.0;-12.7;0;0;0;2005-06
565255.0;7633.004652948936;2.3;4.7;1.4547;-1;83.11;301378.0;0.0;-10.8;0;0;0;2005-07
554929.0;7633.004652948936;2.4;4.7;1.4592;-1;83.5;273668.0;0.0;-11.0;0;0;0;2005-08
607012.0;7633.004652948936;2.5;4.7;1.4761;-1;84.02;264298.0;0.0;-12.9;0;0;0;2005-09
545869.0;7704.445875328777;2.3;5.1;1.4674;-1;84.67;243321.0;0.0;-14.8;0;0;0;2005-10
351318.0;7704.445875328777;2.1;5.1;1.4719;-1;84.8;140857.0;0.0;-15.2;0;0;0;2005-11
284268.0;7704.445875328777;1.9;5.1;1.4725;-1;84.99;138141.0;0.0;-16.0;0;0;0;2005-12
322532.0;7691.308643680201;1.9;5.2;1.4582;-1;84.6;126794.0;50305.0;-14.6;0;0;0;2006-01
330392.0;7691.308643680201;2.0;5.2;1.4637;-1;84.66;145276.0;44669.0;-13.0;0;0;0;2006-02
467515.0;7691.308643680201;1.8;5.2;1.45;-1;85.26;183647.0;44358.0;-16.9;0;0;0;2006-03
432266.0;7721.147317560758;2.0;5.5;1.4402;-1;86.49;220536.0;41416.0;-18.4;0;0;0;2006-04
557104.0;7721.147317560758;2.2;5.5;1.4637;-1;86.8;251352.0;41579.0;-20.1;0;0;0;2006-05
613786.0;7721.147317560758;2.5;5.5;1.456;-1;86.94;258946.0;38028.0;-20.0;0;0;0;2006-06
583469.0;7741.911088971856;2.4;5.5;1.454;-1;86.45;295349.0;39729.0;-15.8;0;0;0;2006-07
526061.0;7741.911088971856;2.5;5.5;1.4785;-1;86.65;271614.0;39048.0;-20.1;0;0;0;2006-08
604506.0;7741.911088971856;2.4;5.5;1.4811;-1;86.48;261391.0;35215.0;-18.7;0;0;0;2006-09
546459.0;7782.254948863253;2.4;5.5;1.4869;-1;86.84;231830.0;42935.0;-12.9;0;0;0;2006-10
364414.0;7782.254948863253;2.7;5.5;1.4834;-1;87.05;138715.0;42832.0;-17.2;0;0;0;2006-11
327329.0;7782.254948863253;3.0;5.5;1.486;-1;87.3;136263.0;43938.0;-16.2;0;0;0;2006-12
357925.0;7792.400736475258;2.7;5.5;1.5079;-1;86.67;119222.0;50305.0;-19.6;0;0;0;2007-01
356258.0;7792.400736475258;2.8;5.5;1.4969;-1;86.73;136083.0;44669.0;-20.3;0;0;0;2007-02
447001.0;7792.400736475258;3.1;5.5;1.4703;-1;87.4;185480.0;44358.0;-18.8;0;0;0;2007-03
449467.0;7849.332426601173;2.8;5.4;1.4713;-1;88.64;205276.0;41416.0;-18.8;0;0;0;2007-04
566389.0;7849.332426601173;2.5;5.4;1.4677;-1;88.89;252961.0;41579.0;-13.1;0;0;0;2007-05
628052.0;7849.332426601173;2.4;5.4;1.4805;-1;89.06;265729.0;38028.0;-12.4;0;0;0;2007-06
615578.0;7902.007694176855;1.9;5.3;1.4821;-1;88.44;298901.0;39729.0;-13.9;0;0;0;2007-07
567561.0;7902.007694176855;1.8;5.3;1.4762;-1;88.59;285776.0;39048.0;-12.6;0;0;0;2007-08
672985.0;7902.007694176855;1.8;5.3;1.4515;-1;88.85;274996.0;35215.0;-14.9;0;0;0;2007-09
